type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	4.1959e+03	7.9137e-17	2.3120e-01	2.0101e+02
LAE	4.1160e+03	6.1655e-17	-1.5200e-02	1.0000e+04
LAE	4.0276e+03	6.5384e-17	6.6540e-01	5.3169e+01
LAE	4.0009e+03	1.0274e-16	4.6740e+00	1.1736e+01
LAE	3.9979e+03	7.1963e-17	1.1834e+00	3.2420e+01
LAE	3.9452e+03	5.0002e-17	8.5240e-01	3.0455e+01
LAE	3.8132e+03	1.2468e-16	8.0810e-01	7.4831e+01
LAE	3.9340e+03	5.5829e-17	1.7720e-01	1.6265e+02
LAE	4.1979e+03	8.1740e-17	1.0860e-01	4.4244e+02
LAE	4.1142e+03	5.2485e-17	1.2300e-01	2.4092e+02
LAE	3.9546e+03	5.9208e-17	3.8150e-01	8.0959e+01
OII	4.1824e+03	4.9070e-17	7.1670e-01	3.9949e+01
OII	4.0294e+03	6.0268e-17	3.0388e+00	1.0741e+01
LAE	3.8013e+03	6.0217e-17	6.6360e-01	4.3737e+01
LAE	4.0764e+03	7.2635e-17	1.4273e+00	2.8208e+01
LAE	3.8522e+03	5.8773e-17	1.3915e+00	2.0907e+01
LAE	4.0940e+03	5.9464e-17	6.5163e+01	5.1020e-01
OII	3.8362e+03	2.7668e-15	2.6361e+02	5.1523e+00
LAE	4.0929e+03	1.4656e-16	1.3366e+00	6.1271e+01
LAE	3.9756e+03	5.5785e-17	7.0600e-02	4.1658e+02
LAE	3.8732e+03	6.1361e-17	3.7586e+00	8.1695e+00
LAE	4.0928e+03	7.4634e-17	1.7720e-01	2.3534e+02
OII	4.1187e+03	1.5758e-16	9.3100e+00	9.5775e+00
LAE	3.8198e+03	8.2981e-17	5.7660e-01	7.0045e+01
LAE	4.0862e+03	6.1671e-17	3.6760e-01	9.3439e+01
LAE	4.1054e+03	5.2893e-17	9.1100e-02	3.2641e+02
LAE	4.1231e+03	5.9199e-17	9.1660e-01	3.6623e+01
LAE	4.1344e+03	5.5453e-17	3.6570e-01	8.6457e+01
LAE	4.1749e+03	6.7647e-17	3.6640e-01	1.0734e+02
LAE	3.8017e+03	7.3204e-17	1.6650e-01	2.1197e+02
LAE	3.9084e+03	1.5412e-16	1.0000e+00	7.8529e+01
LAE	3.8756e+03	5.4822e-17	6.8481e+00	4.0110e+00
LAE	4.1282e+03	5.5171e-17	2.5300e-02	1.2396e+03
LAE	3.9931e+03	5.3200e-17	3.0490e-01	9.2800e+01
LAE	3.8197e+03	6.8550e-17	3.0050e-01	1.1102e+02
LAE	3.9010e+03	6.5798e-17	2.2272e+00	1.4996e+01
LAE	3.9781e+03	5.0495e-17	1.1142e+00	2.3923e+01
LAE	3.9044e+03	1.0925e-16	5.8210e-01	9.5437e+01
LAE	4.0084e+03	5.3244e-17	1.3940e-01	2.0470e+02
LAE	4.1247e+03	5.5319e-17	9.0410e-01	3.4723e+01
LAE	3.9987e+03	9.7258e-17	7.3900e-01	7.0193e+01
LAE	4.1066e+03	5.0453e-17	5.3970e-01	5.2586e+01
OII	4.0021e+03	5.4983e-16	4.2077e+02	6.9810e-01
LAE	4.0635e+03	5.1911e-17	1.1490e-01	2.4884e+02
LAE	4.0711e+03	9.4328e-17	1.3313e+00	3.9172e+01
